Teste,Year,Month,Day,Time,Amount,Merchant Name,Is Fraud?,Swipe Transaction,Online Transaction,Chip Transaction
85,2002,9,30,1683278460.0,127.32,-7421093378627544099,No,False,True,False
86,2002,9,30,1683280620.0,38.13,-34551508091458520,No,True,False,False
87,2002,9,30,1683301920.0,11.3,2027553650310142703,No,True,False,False
88,2002,9,30,1683328020.0,80.05,-4500542936415012428,No,True,False,False
89,2002,10,1,1683278100.0,119.73,5817218446178736267,No,True,False,False
90,2002,10,1,1683280560.0,30.9,-727612092139916043,No,True,False,False
91,2002,10,1,1683297240.0,34.89,3527213246127876953,No,True,False,False
92,2002,10,2,1683278220.0,139.34,2027553650310142703,No,True,False,False
93,2002,10,3,1683277140.0,46.46,4060646732831064559,No,True,False,False
94,2002,10,3,1683277920.0,102.74,-727612092139916043,No,True,False,False
95,2002,10,3,1683280200.0,36.44,-5475680618560174533,No,True,False,False
96,2002,10,4,1683278400.0,114.87,3527213246127876953,No,True,False,False
97,2002,10,5,1683290040.0,53.13,-3345936507911876459,No,True,False,False
98,2002,10,5,1683293880.0,16.87,9137769173591184401,No,True,False,False
99,2002,10,6,1683278040.0,139.39,-7421093378627544099,No,False,True,False
100,2002,10,7,1683278640.0,133.96,4060646732831064559,No,True,False,False
101,2002,10,8,1683278640.0,100.0,-4282466774399734331,No,True,False,False
102,2002,10,8,1683278760.0,154.7,5817218446178736267,No,True,False,False
103,2002,10,8,1683285840.0,27.22,5445101915276107289,No,True,False,False
104,2002,10,9,1683277800.0,118.25,2027553650310142703,No,True,False,False
105,2002,10,9,1683279840.0,31.01,-5475680618560174533,No,True,False,False
106,2002,10,9,1683285360.0,53.09,-4956618006720593695,No,False,True,False
107,2002,10,10,1683278640.0,142.06,-34551508091458520,No,True,False,False
108,2002,10,11,1683276720.0,172.67,5817218446178736267,No,True,False,False
109,2002,10,11,1683277680.0,159.46,4060646732831064559,No,True,False,False
110,2002,10,11,1683280620.0,37.69,-5475680618560174533,No,True,False,False
111,2002,10,11,1683327600.0,87.47,-4500542936415012428,No,True,False,False
112,2002,10,12,1683278940.0,168.96,4060646732831064559,No,True,False,False
113,2002,10,13,1683278460.0,135.41,3527213246127876953,No,True,False,False
114,2002,10,13,1683279180.0,30.0,5817218446178736267,No,True,False,False
115,2002,10,13,1683302400.0,58.62,-1288082279022882052,No,True,False,False
116,2002,10,13,1683303300.0,-99.0,-1288082279022882052,No,True,False,False
117,2002,10,13,1683303420.0,99.0,-1288082279022882052,No,True,False,False
118,2002,10,14,1683277920.0,100.75,5817218446178736267,No,True,False,False
119,2002,10,14,1683277920.0,1049.82,-2187837027406294082,No,True,False,False
120,2002,10,14,1683323880.0,207.0,7834055923142137930,No,True,False,False
121,2002,10,15,1683277380.0,99.09,6042526206085641250,No,True,False,False
122,2002,10,15,1683303060.0,-88.0,-4334232547381218591,No,True,False,False
123,2002,10,15,1683303420.0,88.0,-4334232547381218591,No,True,False,False
124,2002,10,15,1683303660.0,55.3,-4334232547381218591,No,True,False,False
125,2002,10,15,1683316140.0,93.02,-3348978172739825871,No,True,False,False
126,2002,10,16,1683298020.0,142.68,7834055923142137930,No,True,False,False
127,2002,10,16,1683298440.0,-207.0,7834055923142137930,No,True,False,False
128,2002,10,16,1683306540.0,3.65,-727612092139916043,No,True,False,False
129,2002,10,16,1683327660.0,521.24,-811651038065591449,No,True,False,False
130,2002,10,17,1683277740.0,114.05,3527213246127876953,No,True,False,False
131,2002,10,18,1683277920.0,91.1,4060646732831064559,No,True,False,False
132,2002,10,18,1683297120.0,1.84,6666504894937430109,No,True,False,False
133,2002,10,19,1683278940.0,130.22,4060646732831064559,No,True,False,False
134,2002,10,19,1683280020.0,24.02,-34551508091458520,No,True,False,False
135,2002,10,20,1683279960.0,41.02,-34551508091458520,No,True,False,False
136,2002,10,21,1683280020.0,43.69,-34551508091458520,No,True,False,False
137,2002,10,21,1683300660.0,49.08,2027553650310142703,No,True,False,False
138,2002,10,21,1683301140.0,-57.0,2027553650310142703,No,True,False,False
139,2002,10,21,1683301920.0,57.0,2027553650310142703,No,True,False,False
140,2002,10,22,1683277620.0,164.49,1913477460590765860,No,True,False,False
141,2002,10,23,1683277200.0,201.62,1913477460590765860,No,True,False,False
142,2002,10,23,1683289920.0,17.82,-3345936507911876459,No,True,False,False
143,2002,10,24,1683278340.0,118.96,5817218446178736267,No,True,False,False
144,2002,10,24,1683302640.0,66.0,-1288082279022882052,No,True,False,False
145,2002,10,24,1683303780.0,62.01,-1288082279022882052,No,True,False,False
146,2002,10,24,1683303960.0,-66.0,-1288082279022882052,No,True,False,False
147,2002,10,25,1683277560.0,39.12,-727612092139916043,No,True,False,False
148,2002,10,25,1683278040.0,148.58,4060646732831064559,No,True,False,False
149,2002,10,25,1683305280.0,35.82,-5904116920141006298,No,True,False,False
150,2002,10,25,1683328200.0,73.35,-4500542936415012428,No,True,False,False
151,2002,10,26,1683277500.0,119.43,5817218446178736267,No,True,False,False
152,2002,10,26,1683280500.0,38.42,-5475680618560174533,No,True,False,False
153,2002,10,26,1683335580.0,216.47,-8135850083113399757,No,True,False,False
154,2002,10,27,1683277440.0,131.02,2027553650310142703,No,True,False,False
155,2002,10,27,1683279600.0,37.06,-34551508091458520,No,True,False,False
156,2002,10,28,1683278220.0,156.93,-245178307025547046,No,True,False,False
157,2002,10,28,1683297660.0,2.3,6666504894937430109,No,True,False,False
158,2002,10,29,1683303600.0,9.76,2027553650310142703,No,True,False,False
159,2002,10,29,1683333840.0,29.95,-3265671264153192329,No,True,False,False
160,2002,10,30,1683277500.0,77.85,-727612092139916043,No,True,False,False
161,2002,10,30,1683280080.0,35.92,5817218446178736267,No,True,False,False
162,2002,10,31,1683277860.0,135.6,-245178307025547046,No,True,False,False
163,2002,10,31,1683280560.0,37.63,-5475680618560174533,No,True,False,False
164,2002,10,31,1683302880.0,96.0,2027553650310142703,No,True,False,False
165,2002,10,31,1683302940.0,-96.0,2027553650310142703,No,True,False,False
166,2002,10,31,1683303060.0,61.08,2027553650310142703,No,True,False,False
167,2002,11,1,1683295140.0,24.67,-86825621511712373,No,True,False,False
168,2002,11,1,1683305580.0,46.1,-5475680618560174533,No,True,False,False
169,2002,11,1,1683324960.0,16.76,2027553650310142703,No,True,False,False
170,2002,11,1,1683329100.0,161.51,838425044734233142,No,True,False,False
171,2002,11,2,1683277500.0,132.9,-245178307025547046,No,True,False,False
172,2002,11,2,1683278100.0,30.5,-727612092139916043,No,True,False,False
173,2002,11,2,1683327540.0,12.09,3527213246127876953,No,True,False,False
174,2002,11,3,1683275760.0,150.08,3527213246127876953,No,True,False,False
175,2002,11,3,1683277500.0,180.58,5817218446178736267,No,True,False,False
176,2002,11,4,1683277380.0,55.61,3527213246127876953,No,True,False,False
177,2002,11,4,1683303600.0,75.72,-245178307025547046,No,True,False,False
178,2002,11,4,1683327600.0,77.41,-4500542936415012428,No,True,False,False
179,2002,11,5,1683276060.0,148.01,-727612092139916043,No,True,False,False
180,2002,11,5,1683278880.0,106.72,2027553650310142703,No,True,False,False
181,2002,11,5,1683315780.0,28.39,4241336128694185533,No,False,True,False
182,2002,11,7,1683277680.0,140.86,-727612092139916043,No,True,False,False
183,2002,11,7,1683280200.0,116.86,1913477460590765860,No,True,False,False
184,2002,11,8,1683278280.0,122.64,-245178307025547046,No,True,False,False
185,2002,11,8,1683279300.0,42.01,-34551508091458520,No,True,False,False
186,2002,11,9,1683278340.0,167.0,-34551508091458520,No,True,False,False
187,2002,11,9,1683290640.0,168.53,7945328079774550558,No,True,False,False
188,2002,11,9,1683331740.0,85.91,-5023497618971072366,No,True,False,False
189,2002,11,10,1683278580.0,152.14,2027553650310142703,No,True,False,False
190,2002,11,10,1683279120.0,40.78,-727612092139916043,No,True,False,False
191,2002,11,10,1683290700.0,107.5,7945328079774550558,No,True,False,False
192,2002,11,10,1683301140.0,59.52,-1288082279022882052,No,True,False,False
193,2002,11,10,1683301800.0,-91.0,-1288082279022882052,No,True,False,False
194,2002,11,10,1683302220.0,91.0,-1288082279022882052,No,True,False,False
195,2002,11,10,1683302940.0,-98.0,-1288082279022882052,No,True,False,False
196,2002,11,10,1683303120.0,98.0,-1288082279022882052,No,True,False,False
197,2002,11,10,1683303600.0,52.4,-1288082279022882052,No,True,False,False
198,2002,11,11,1683277800.0,130.48,4060646732831064559,No,True,False,False
199,2002,11,11,1683281760.0,126.32,-245178307025547046,No,True,False,False
200,2002,11,13,1683327960.0,63.9,-1605794445852049456,No,True,False,False
201,2002,11,14,1683275340.0,151.49,-34551508091458520,No,True,False,False
202,2002,11,14,1683278700.0,113.32,4060646732831064559,No,True,False,False
203,2002,11,15,1683282960.0,39.18,-5475680618560174533,No,True,False,False
204,2002,11,15,1683290220.0,66.98,-3345936507911876459,No,True,False,False
205,2002,11,15,1683306300.0,58.03,6661973303171003879,No,True,False,False
206,2002,11,15,1683335160.0,186.41,3527213246127876953,No,True,False,False
207,2002,11,16,1683278880.0,133.55,-245178307025547046,No,True,False,False
208,2002,11,16,1683291540.0,59.74,4055257078481058705,No,True,False,False
209,2002,11,17,1683278040.0,157.96,5817218446178736267,No,True,False,False
210,2002,11,17,1683329580.0,95.4,-4500542936415012428,No,True,False,False
211,2002,11,18,1683278640.0,99.92,5817218446178736267,No,True,False,False
212,2002,11,18,1683280980.0,127.33,2027553650310142703,No,True,False,False
213,2002,11,19,1683277080.0,134.57,3527213246127876953,No,True,False,False
214,2002,11,19,1683304500.0,52.94,8080934608468946743,No,True,False,False
215,2002,11,19,1683326520.0,95.76,-1605794445852049456,No,True,False,False
216,2002,11,20,1683278820.0,83.17,-245178307025547046,No,True,False,False
217,2002,11,20,1683283680.0,54.26,5817218446178736267,No,True,False,False
218,2002,11,20,1683290520.0,61.02,3952145593743244256,No,True,False,False
219,2002,11,22,1683277620.0,131.45,4060646732831064559,No,True,False,False
220,2002,11,22,1683279660.0,115.91,-245178307025547046,No,True,False,False
221,2002,11,22,1683289860.0,65.92,3952145593743244256,No,True,False,False
222,2002,11,23,1683277860.0,38.99,5817218446178736267,No,True,False,False
223,2002,11,23,1683278160.0,129.07,-727612092139916043,No,True,False,False
224,2002,11,23,1683280020.0,37.23,-34551508091458520,No,True,False,False
225,2002,11,23,1683296280.0,228.92,3129259766334579731,No,True,False,False
226,2002,11,24,1683276600.0,141.77,-34551508091458520,No,True,False,False
227,2002,11,24,1683330960.0,51.96,-4500542936415012428,No,True,False,False
228,2002,11,25,1683277920.0,143.06,2027553650310142703,No,True,False,False
229,2002,11,25,1683279780.0,50.68,-5475680618560174533,No,True,False,False
230,2002,11,25,1683302640.0,-99.0,-1288082279022882052,No,True,False,False
231,2002,11,25,1683304020.0,69.31,-1288082279022882052,No,True,False,False
232,2002,11,25,1683304140.0,99.0,-1288082279022882052,No,True,False,False
233,2002,11,25,1683316320.0,99.36,-5904116920141006298,No,True,False,False
234,2002,11,26,1683278880.0,126.81,1913477460590765860,No,True,False,False
235,2002,11,26,1683296460.0,379.73,6515854639642454768,No,True,False,False
236,2002,11,27,1683275520.0,148.42,-245178307025547046,No,True,False,False
237,2002,11,27,1683278520.0,138.59,5817218446178736267,No,True,False,False
238,2002,11,27,1683328020.0,107.15,-1605794445852049456,No,True,False,False
239,2002,11,28,1683278040.0,81.43,-245178307025547046,No,True,False,False
240,2002,11,28,1683280380.0,35.6,-727612092139916043,No,True,False,False
241,2002,11,29,1683278040.0,173.03,5817218446178736267,No,True,False,False
242,2002,11,29,1683279660.0,38.76,-727612092139916043,No,True,False,False
243,2002,11,30,1683279120.0,24.55,5817218446178736267,No,True,False,False
244,2002,11,30,1683315960.0,104.81,3527213246127876953,No,True,False,False
245,2002,12,1,1683275700.0,75.86,-727612092139916043,No,True,False,False
246,2002,12,1,1683278520.0,128.63,-245178307025547046,No,True,False,False
247,2002,12,2,1683277980.0,147.54,-727612092139916043,No,True,False,False
248,2002,12,2,1683300840.0,-50.0,-1288082279022882052,No,True,False,False
249,2002,12,2,1683300900.0,66.41,-1288082279022882052,No,True,False,False
250,2002,12,2,1683302040.0,50.0,-1288082279022882052,No,True,False,False
251,2002,12,2,1683324480.0,71.03,-4733023138943446282,No,True,False,False
252,2002,12,2,1683328740.0,78.32,-2744911404133435018,No,True,False,False
253,2002,12,2,1683339720.0,127.0,-6406662083475903219,No,True,False,False
254,2002,12,2,1683341280.0,211.0,-7807051024009846392,No,True,False,False
255,2002,12,3,1683279120.0,18.45,-2565173608660320061,No,True,False,False
256,2002,12,3,1683328440.0,79.78,-4733023138943446282,No,True,False,False
257,2002,12,4,1683328080.0,89.39,-4733023138943446282,No,True,False,False
258,2002,12,5,1683303420.0,9.92,-727612092139916043,No,True,False,False
259,2002,12,6,1683328080.0,79.83,-2744911404133435018,No,True,False,False
260,2002,12,7,1683269220.0,149.45,-7807051024009846392,No,True,False,False
261,2002,12,7,1683269520.0,-211.0,-7807051024009846392,No,True,False,False
262,2002,12,7,1683274860.0,173.38,-6406662083475903219,No,True,False,False
263,2002,12,7,1683274980.0,-127.0,-6406662083475903219,No,True,False,False
264,2002,12,7,1683280080.0,38.41,4060646732831064559,No,True,False,False
265,2002,12,7,1683328860.0,78.97,-5023497618971072366,No,True,False,False
266,2002,12,8,1683278520.0,113.94,3527213246127876953,No,True,False,False
267,2002,12,8,1683279840.0,47.4,-34551508091458520,No,True,False,False
268,2002,12,8,1683328020.0,210.96,6654290286221782850,No,False,True,False
269,2002,12,8,1683329160.0,73.37,-4500542936415012428,No,True,False,False
270,2002,12,9,1683277680.0,134.26,5817218446178736267,No,True,False,False
271,2002,12,10,1683274440.0,128.82,3527213246127876953,No,True,False,False
272,2002,12,10,1683277800.0,128.41,-7421093378627544099,No,False,True,False
273,2002,12,10,1683280020.0,51.23,-34551508091458520,No,True,False,False
274,2002,12,11,1683277260.0,141.19,3527213246127876953,No,True,False,False
275,2002,12,11,1683328440.0,177.75,838425044734233142,No,True,False,False
276,2002,12,11,1683330420.0,58.42,-9092677072201095172,No,False,True,False
277,2002,12,12,1683277860.0,138.47,-727612092139916043,No,True,False,False
278,2002,12,12,1683280140.0,108.9,5817218446178736267,No,True,False,False
279,2002,12,12,1683303000.0,84.72,7945328079774550558,No,True,False,False
280,2002,12,13,1683278580.0,141.32,-245178307025547046,No,True,False,False
281,2002,12,13,1683279720.0,30.8,-34551508091458520,No,True,False,False
282,2002,12,13,1683330240.0,55.25,-4500542936415012428,No,True,False,False
283,2002,12,14,1683277200.0,145.9,-727612092139916043,No,True,False,False
284,2002,12,15,1683277620.0,75.31,2027553650310142703,No,True,False,False
285,2002,12,15,1683279840.0,50.2,-727612092139916043,No,True,False,False
286,2002,12,15,1683290160.0,58.1,7945328079774550558,No,True,False,False
287,2002,12,16,1683277680.0,121.81,-7421093378627544099,No,False,True,False
288,2002,12,16,1683278460.0,97.31,-7421093378627544099,No,False,True,False
289,2002,12,18,1683278880.0,129.63,2027553650310142703,No,True,False,False
290,2002,12,19,1683277380.0,119.46,5817218446178736267,No,True,False,False
291,2002,12,19,1683279300.0,47.73,-5475680618560174533,No,True,False,False
292,2002,12,19,1683316080.0,33.86,838425044734233142,No,True,False,False
293,2002,12,20,1683276600.0,123.12,2027553650310142703,No,True,False,False
294,2002,12,20,1683277620.0,91.97,2027553650310142703,No,True,False,False
295,2002,12,21,1683279360.0,40.06,-727612092139916043,No,True,False,False
296,2002,12,21,1683328920.0,70.17,-4500542936415012428,No,True,False,False
297,2002,12,22,1683280140.0,53.74,-727612092139916043,No,True,False,False
298,2002,12,23,1683274620.0,105.41,-727612092139916043,No,True,False,False
299,2002,12,23,1683278580.0,117.15,3527213246127876953,No,True,False,False
300,2002,12,23,1683280560.0,35.28,-5475680618560174533,No,True,False,False
301,2002,12,23,1683290520.0,44.92,-8408860211649002936,No,True,False,False
302,2002,12,23,1683292440.0,255.0,-8566951830324093739,No,True,False,False
303,2002,12,23,1683306060.0,3.62,-6343149209980797253,No,True,False,False
304,2002,12,23,1683327600.0,94.02,4581048999108455719,No,True,False,False
305,2002,12,24,1683291000.0,55.44,-8408860211649002936,No,True,False,False
306,2002,12,24,1683319560.0,9.92,6455213054093379528,No,False,True,False
307,2002,12,24,1683329340.0,76.75,4581048999108455719,No,True,False,False
308,2002,12,24,1683330780.0,71.64,4751695835751691036,No,True,False,False
309,2002,12,24,1683333000.0,25.01,1161578400968813655,No,True,False,False
310,2002,12,25,1683278940.0,139.8,97032797689821735,No,True,False,False
311,2002,12,25,1683328320.0,81.36,4581048999108455719,No,True,False,False
312,2002,12,25,1683335760.0,-255.0,-8566951830324093739,No,True,False,False
313,2002,12,25,1683335880.0,147.41,-8566951830324093739,No,True,False,False
314,2002,12,26,1683277500.0,114.15,-727612092139916043,No,True,False,False
315,2002,12,26,1683280620.0,38.0,-727612092139916043,No,True,False,False
316,2002,12,26,1683291480.0,57.25,3952145593743244256,No,True,False,False
317,2002,12,27,1683277200.0,123.99,5817218446178736267,No,True,False,False
318,2002,12,27,1683280320.0,37.29,-5475680618560174533,No,True,False,False
319,2002,12,28,1683278100.0,185.16,5817218446178736267,No,True,False,False
320,2002,12,28,1683279840.0,46.3,-5475680618560174533,No,True,False,False
321,2002,12,28,1683305220.0,65.61,-5904116920141006298,No,True,False,False
322,2002,12,28,1683307260.0,6.06,2027553650310142703,No,True,False,False
323,2002,12,28,1683324060.0,9.88,1913477460590765860,No,True,False,False
324,2002,12,29,1683278820.0,160.17,-245178307025547046,No,True,False,False
325,2002,12,30,1683280080.0,41.18,5817218446178736267,No,True,False,False
326,2002,12,30,1683295200.0,6.19,9137769173591184401,No,True,False,False
327,2002,12,30,1683312660.0,73.25,1913477460590765860,No,True,False,False
328,2002,12,31,1683285720.0,42.33,5445101915276107289,No,True,False,False
329,2003,1,2,1683278400.0,45.35,5817218446178736267,No,True,False,False
330,2003,1,2,1683278820.0,187.21,3527213246127876953,No,True,False,False
331,2003,1,2,1683304860.0,5.63,5817218446178736267,No,True,False,False
332,2003,1,3,1683275520.0,123.66,-727612092139916043,No,True,False,False
333,2003,1,4,1683279960.0,109.73,-727612092139916043,No,True,False,False
334,2003,1,4,1683289920.0,65.5,7945328079774550558,No,True,False,False
335,2003,1,5,1683333720.0,29.55,-5413376491460213491,No,True,False,False
336,2003,1,6,1683278280.0,126.17,2027553650310142703,No,True,False,False
337,2003,1,6,1683278820.0,100.0,-4282466774399734331,No,True,False,False
338,2003,1,6,1683280740.0,43.99,5817218446178736267,No,True,False,False
339,2003,1,7,1683277500.0,157.23,3527213246127876953,No,True,False,False
340,2003,1,7,1683277860.0,46.57,-5475680618560174533,No,True,False,False
341,2003,1,7,1683280320.0,50.18,-5475680618560174533,No,True,False,False
342,2003,1,8,1683279960.0,116.3,1913477460590765860,No,True,False,False
343,2003,1,8,1683289680.0,73.33,-3345936507911876459,No,True,False,False
344,2003,1,9,1683277260.0,132.82,2027553650310142703,No,True,False,False
345,2003,1,9,1683303060.0,84.0,2027553650310142703,No,True,False,False
346,2003,1,9,1683303480.0,-84.0,2027553650310142703,No,True,False,False
347,2003,1,9,1683303960.0,67.52,2027553650310142703,No,True,False,False
348,2003,1,10,1683282060.0,36.7,5817218446178736267,No,True,False,False
349,2003,1,10,1683319680.0,6.51,-2042049018365856408,No,False,True,False
350,2003,1,12,1683279840.0,36.66,4060646732831064559,No,True,False,False
351,2003,1,12,1683280080.0,93.42,-34551508091458520,No,True,False,False
352,2003,1,12,1683328320.0,55.69,838425044734233142,No,True,False,False
353,2003,1,13,1683290940.0,59.38,3952145593743244256,No,True,False,False
354,2003,1,15,1683316740.0,76.67,-5904116920141006298,No,True,False,False
355,2003,1,16,1683257280.0,36.53,4060646732831064559,No,True,False,False
356,2003,1,19,1683277380.0,137.22,3527213246127876953,No,True,False,False
357,2003,1,19,1683331740.0,97.24,-4500542936415012428,No,True,False,False
358,2003,1,20,1683281640.0,150.31,4060646732831064559,No,True,False,False
359,2003,1,20,1683301860.0,10.59,4060646732831064559,No,True,False,False
360,2003,1,21,1683279060.0,39.21,-5475680618560174533,No,True,False,False
361,2003,1,22,1683277740.0,109.59,4060646732831064559,No,True,False,False
362,2003,1,23,1683277680.0,134.05,2027553650310142703,No,True,False,False
363,2003,1,23,1683284580.0,46.8,4060646732831064559,No,True,False,False
364,2003,1,24,1683294240.0,1.39,-7232193519160172381,No,True,False,False
365,2003,1,24,1683298800.0,227.9,8099188931555596779,No,False,True,False
366,2003,1,24,1683326340.0,432.22,-811651038065591449,No,True,False,False
367,2003,1,24,1683328920.0,68.5,-5023497618971072366,No,True,False,False
368,2003,1,25,1683278520.0,151.82,3527213246127876953,No,True,False,False
369,2003,1,25,1683279360.0,20.09,4060646732831064559,No,True,False,False
370,2003,1,26,1683279180.0,37.74,-34551508091458520,No,True,False,False
371,2003,1,27,1683277800.0,124.63,2027553650310142703,No,True,False,False
372,2003,1,27,1683278160.0,32.77,-727612092139916043,No,True,False,False
373,2003,1,29,1683277260.0,134.32,4060646732831064559,No,True,False,False
374,2003,1,29,1683279180.0,153.96,2027553650310142703,No,True,False,False
375,2003,1,29,1683333660.0,32.23,-3265671264153192329,No,True,False,False
376,2003,1,30,1683303180.0,3.52,2027553650310142703,No,True,False,False
377,2003,1,30,1683333000.0,29.35,-6733168469687845480,No,True,False,False
378,2003,1,31,1683278640.0,115.48,3527213246127876953,No,True,False,False
379,2003,2,2,1683279480.0,18.71,5817218446178736267,No,True,False,False
380,2003,2,2,1683326940.0,76.47,4751695835751691036,No,True,False,False
381,2003,2,2,1683327900.0,54.91,3699106470332963671,No,True,False,False
