Amount,Use Chip,MCC,Has Chip,Merchant Latitude,Merchant Longitude,Month,Day of Week,Day,Hour,Distance to Merchant,Latitude,Longitude,Age,Is Fraud
50.72,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,10.0,2.0,30.0,4.0,2374.918339278467,34.02,-117.89,81.0,0.0
9.37,0.0,5411.0,1.0,34.0229,-117.8975,10.0,1.0,29.0,7.0,0.7627297827808959,34.02,-117.89,81.0,0.0
54.41,1.0,4784.0,0.0,37.42488662030914,-91.83121755030102,9.0,2.0,25.0,4.0,2374.918339278467,34.02,-117.89,81.0,0.0
49.41,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,9.0,6.0,15.0,8.0,2374.918339278467,34.02,-117.89,81.0,0.0
1.85,0.0,5499.0,1.0,34.0229,-117.8975,9.0,0.0,9.0,23.0,0.7627297827808959,34.02,-117.89,81.0,0.0
43.22,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,8.0,2.0,21.0,14.0,2374.918339278467,34.02,-117.89,81.0,0.0
47.49,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,8.0,1.0,13.0,8.0,2374.918339278467,34.02,-117.89,81.0,0.0
74.0,0.0,5499.0,1.0,34.0914,-118.1293,8.0,5.0,3.0,11.0,23.43137704165268,34.02,-117.89,81.0,0.0
66.8,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,7.0,6.0,28.0,9.0,2374.918339278467,34.02,-117.89,81.0,0.0
127.58,1.0,4900.0,1.0,37.42488662030914,-91.83121755030102,7.0,6.0,14.0,15.0,2374.918339278467,34.02,-117.89,81.0,0.0
21.61,2.0,5813.0,0.0,34.0229,-117.8975,7.0,3.0,4.0,4.0,0.7627297827808959,34.02,-117.89,81.0,0.0
1.8,0.0,5499.0,1.0,34.0229,-117.8975,6.0,2.0,26.0,23.0,0.7627297827808959,34.02,-117.89,81.0,0.0
11.14,0.0,5942.0,1.0,32.724,-116.9976,6.0,6.0,9.0,6.0,166.234291942533,34.02,-117.89,81.0,0.0
17.54,0.0,5411.0,1.0,34.0914,-118.1293,5.0,0.0,27.0,0.0,23.43137704165268,34.02,-117.89,81.0,0.0
-99.0,2.0,5541.0,1.0,34.0229,-117.8975,5.0,2.0,22.0,11.0,0.7627297827808959,34.02,-117.89,81.0,0.0
7.87,2.0,5411.0,0.0,34.0229,-117.8975,5.0,0.0,6.0,7.0,0.7627297827808959,34.02,-117.89,81.0,0.0
46.04,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,4.0,2.0,24.0,9.0,2374.918339278467,34.02,-117.89,81.0,0.0
49.3,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,3.0,6.0,24.0,14.0,2374.918339278467,34.02,-117.89,81.0,0.0
40.89,1.0,4784.0,0.0,37.42488662030914,-91.83121755030102,2.0,3.0,21.0,9.0,2374.918339278467,34.02,-117.89,81.0,0.0
30.43,1.0,4784.0,0.0,37.42488662030914,-91.83121755030102,2.0,2.0,20.0,14.0,2374.918339278467,34.02,-117.89,81.0,0.0
50.18,0.0,5499.0,1.0,34.0914,-118.1293,2.0,5.0,9.0,11.0,23.43137704165268,34.02,-117.89,81.0,0.0
5.97,0.0,5812.0,1.0,34.0914,-118.1293,1.0,0.0,28.0,7.0,23.43137704165268,34.02,-117.89,81.0,0.0
14.14,0.0,5942.0,1.0,32.724,-116.9976,1.0,4.0,4.0,6.0,166.234291942533,34.02,-117.89,81.0,0.0
36.47,0.0,5912.0,1.0,40.778,-73.9884,1.0,6.0,19.0,13.0,7.562456361733384,40.71,-73.99,63.0,0.0
18.06,1.0,4121.0,1.0,37.42488662030914,-91.83121755030102,1.0,3.0,16.0,22.0,1579.9652628817787,40.71,-73.99,63.0,0.0
215.96,0.0,3359.0,1.0,37.42488662030914,-91.83121755030102,10.0,3.0,3.0,14.0,1579.9652628817787,40.71,-73.99,62.0,0.0
46.78,0.0,5411.0,1.0,37.42488662030914,-91.83121755030102,9.0,6.0,15.0,13.0,1579.9652628817787,40.71,-73.99,62.0,0.0
360.0,0.0,4829.0,1.0,40.6102,-74.0878,8.0,5.0,3.0,16.0,13.827651804648031,40.71,-73.99,62.0,0.0
43.9,0.0,5211.0,1.0,40.778,-73.9884,7.0,2.0,17.0,16.0,7.562456361733384,40.71,-73.99,62.0,0.0
139.52,0.0,5812.0,1.0,40.7143,-74.006,2.0,3.0,7.0,21.0,1.430819250334118,40.71,-73.99,62.0,0.0
94.96,0.0,5411.0,1.0,37.7786,-122.4892,2.0,1.0,25.0,9.0,4.793688434200673,37.76,-122.44,44.0,0.0
220.0,0.0,4829.0,1.0,37.7812,-122.4614,1.0,6.0,19.0,8.0,3.015807675723195,37.76,-122.44,44.0,0.0
28.79,0.0,5251.0,1.0,37.7712,-122.4413,10.0,2.0,30.0,10.0,1.250614859569034,37.76,-122.44,43.0,0.0
160.0,0.0,4829.0,1.0,37.7812,-122.4614,10.0,0.0,28.0,8.0,3.015807675723195,37.76,-122.44,43.0,0.0
15.95,0.0,5310.0,1.0,37.7712,-122.4413,10.0,2.0,16.0,9.0,1.250614859569034,37.76,-122.44,43.0,0.0
61.05,0.0,5942.0,1.0,40.6037,-112.0411,8.0,4.0,23.0,15.0,949.7212481745048,37.76,-122.44,43.0,0.0
895.62,1.0,7801.0,1.0,37.42488662030914,-91.83121755030102,7.0,4.0,26.0,14.0,2684.97710312554,37.76,-122.44,43.0,0.0
18.2,1.0,5815.0,1.0,37.42488662030914,-91.83121755030102,7.0,6.0,21.0,18.0,2684.97710312554,37.76,-122.44,43.0,0.0
97.0,0.0,5311.0,1.0,37.7812,-122.4614,2.0,4.0,22.0,15.0,3.015807675723195,37.76,-122.44,43.0,0.0
15.35,0.0,5813.0,1.0,41.5385,-90.5613,2.0,3.0,20.0,22.0,3.4653021788520744,41.55,-90.6,43.0,0.0
18.49,0.0,5813.0,1.0,41.5385,-90.5613,1.0,2.0,1.0,21.0,3.4653021788520744,41.55,-90.6,43.0,0.0
40.0,0.0,4829.0,1.0,43.3034,-88.0029,12.0,0.0,30.0,16.0,288.8524138762434,41.55,-90.6,42.0,0.0
53.75,0.0,7230.0,1.0,41.5385,-90.5613,11.0,3.0,14.0,20.0,3.4653021788520744,41.55,-90.6,42.0,0.0
75.77,0.0,5541.0,1.0,41.5386,-90.6115,8.0,6.0,25.0,17.0,1.588345124875208,41.55,-90.6,42.0,0.0
40.0,0.0,4829.0,1.0,43.3034,-88.0029,7.0,6.0,28.0,17.0,288.8524138762434,41.55,-90.6,42.0,0.0
120.29,0.0,5411.0,1.0,41.5385,-90.5613,7.0,5.0,27.0,17.0,3.4653021788520744,41.55,-90.6,42.0,0.0
87.43,0.0,5300.0,1.0,40.9107,-90.6448,6.0,6.0,30.0,17.0,71.18556770679024,41.55,-90.6,42.0,0.0
22.88,0.0,5813.0,1.0,41.5385,-90.5613,6.0,3.0,27.0,21.0,3.4653021788520744,41.55,-90.6,42.0,0.0
-181.0,0.0,3504.0,1.0,33.431,-93.8765,5.0,1.0,21.0,5.0,947.7362405903611,41.55,-90.6,42.0,0.0
96.6,0.0,5300.0,1.0,41.5385,-90.5613,5.0,2.0,8.0,17.0,3.4653021788520744,41.55,-90.6,42.0,0.0
20.0,0.0,4829.0,1.0,43.3034,-88.0029,4.0,5.0,27.0,16.0,288.8524138762434,41.55,-90.6,42.0,0.0
60.0,0.0,4829.0,1.0,43.3034,-88.0029,3.0,4.0,22.0,16.0,288.8524138762434,41.55,-90.6,42.0,0.0
80.73,0.0,5311.0,1.0,41.5385,-90.5613,3.0,2.0,20.0,17.0,3.4653021788520744,41.55,-90.6,42.0,0.0
3.12,0.0,5310.0,1.0,41.5385,-90.5613,3.0,6.0,3.0,12.0,3.4653021788520744,41.55,-90.6,42.0,0.0
63.57,0.0,4814.0,1.0,41.5386,-90.6115,2.0,1.0,26.0,17.0,1.588345124875208,41.55,-90.6,42.0,0.0
30.1,1.0,4121.0,1.0,37.42488662030914,-91.83121755030102,2.0,1.0,18.0,7.0,542.1697135354642,38.22,-85.74,37.0,0.0
78.0,2.0,5499.0,0.0,38.1768,-85.5218,2.0,6.0,16.0,14.0,19.66322441896233,38.22,-85.74,37.0,0.0
21.26,2.0,5912.0,0.0,38.1768,-85.5218,1.0,6.0,26.0,6.0,19.66322441896233,38.22,-85.74,37.0,0.0
0.45,0.0,5499.0,1.0,38.1768,-85.5218,1.0,1.0,21.0,12.0,19.66322441896233,38.22,-85.74,37.0,0.0
31.8,1.0,4121.0,1.0,37.42488662030914,-91.83121755030102,1.0,2.0,15.0,7.0,542.1697135354642,38.22,-85.74,37.0,0.0
0.49,0.0,5499.0,1.0,38.1768,-85.5218,1.0,4.0,10.0,12.0,19.66322441896233,38.22,-85.74,37.0,0.0
30.47,0.0,4121.0,1.0,38.1768,-85.5218,1.0,2.0,8.0,21.0,19.66322441896233,38.22,-85.74,37.0,0.0
0.42,0.0,5499.0,1.0,38.1768,-85.5218,12.0,0.0,30.0,12.0,19.66322441896233,38.22,-85.74,36.0,0.0
6.91,0.0,5942.0,1.0,38.2117,-84.5562,12.0,4.0,27.0,6.0,103.42524094696375,38.22,-85.74,36.0,0.0
24.36,2.0,5942.0,0.0,38.2117,-84.5562,12.0,6.0,22.0,6.0,103.42524094696375,38.22,-85.74,36.0,0.0
0.19,0.0,5499.0,1.0,38.1768,-85.5218,12.0,0.0,16.0,13.0,19.66322441896233,38.22,-85.74,36.0,0.0
276.73,0.0,8011.0,1.0,38.1768,-85.5218,10.0,3.0,24.0,10.0,19.66322441896233,38.22,-85.74,36.0,0.0
22.31,0.0,5912.0,1.0,38.1768,-85.5218,8.0,4.0,23.0,6.0,19.66322441896233,38.22,-85.74,36.0,0.0
10.86,0.0,7210.0,1.0,38.1768,-85.5218,7.0,5.0,13.0,14.0,19.66322441896233,38.22,-85.74,36.0,0.0
0.61,0.0,5499.0,1.0,38.2258,-82.4339,7.0,0.0,1.0,12.0,288.7924189076455,38.22,-85.74,36.0,0.0
43.59,1.0,4121.0,1.0,37.42488662030914,-91.83121755030102,5.0,2.0,29.0,16.0,542.1697135354642,38.22,-85.74,36.0,0.0
22.2,1.0,4121.0,1.0,37.42488662030914,-91.83121755030102,5.0,2.0,8.0,20.0,542.1697135354642,38.22,-85.74,36.0,0.0
21.95,0.0,5912.0,1.0,38.1768,-85.5218,3.0,0.0,25.0,6.0,19.66322441896233,38.22,-85.74,36.0,0.0
20.59,0.0,5651.0,1.0,37.42488662030914,-91.83121755030102,3.0,5.0,23.0,16.0,542.1697135354642,38.22,-85.74,36.0,1.0
71.82,0.0,5045.0,1.0,37.42488662030914,-91.83121755030102,3.0,3.0,21.0,16.0,542.1697135354642,38.22,-85.74,36.0,1.0
133.31,0.0,5211.0,1.0,37.42488662030914,-91.83121755030102,3.0,5.0,16.0,15.0,542.1697135354642,38.22,-85.74,36.0,1.0
12.47,0.0,5912.0,1.0,37.42488662030914,-91.83121755030102,3.0,5.0,16.0,10.0,542.1697135354642,38.22,-85.74,36.0,1.0
0.09,0.0,5311.0,1.0,37.42488662030914,-91.83121755030102,3.0,1.0,12.0,13.0,542.1697135354642,38.22,-85.74,36.0,1.0
7.23,0.0,4121.0,1.0,37.42488662030914,-91.83121755030102,3.0,5.0,9.0,16.0,542.1697135354642,38.22,-85.74,36.0,1.0
63.34,0.0,5499.0,1.0,38.1768,-85.5218,3.0,5.0,9.0,13.0,19.66322441896233,38.22,-85.74,36.0,0.0
85.01,0.0,5211.0,1.0,37.42488662030914,-91.83121755030102,3.0,3.0,7.0,17.0,542.1697135354642,38.22,-85.74,36.0,1.0
185.47,0.0,5912.0,1.0,37.42488662030914,-91.83121755030102,3.0,3.0,7.0,16.0,542.1697135354642,38.22,-85.74,36.0,1.0
0.37,0.0,5499.0,1.0,38.1768,-85.5218,2.0,1.0,12.0,13.0,19.66322441896233,38.22,-85.74,36.0,0.0
22.32,2.0,5912.0,0.0,38.1768,-85.5218,2.0,6.0,10.0,6.0,19.66322441896233,38.22,-85.74,36.0,0.0
0.36,0.0,5499.0,1.0,38.1768,-85.5218,1.0,3.0,31.0,13.0,19.66322441896233,38.22,-85.74,36.0,0.0
31.59,0.0,4121.0,1.0,37.5185,-77.1486,1.0,5.0,12.0,7.0,757.8876878702395,38.22,-85.74,36.0,0.0
0.39,2.0,5499.0,0.0,37.7337,-77.7,1.0,4.0,11.0,13.0,706.5566999279381,38.22,-85.74,36.0,0.0
56.0,2.0,5541.0,0.0,45.5142,-122.6364,2.0,4.0,21.0,15.0,0.5447890080720014,45.51,-122.64,27.0,0.0
1.42,2.0,5300.0,0.0,45.5142,-122.6364,2.0,3.0,13.0,17.0,0.5447890080720014,45.51,-122.64,27.0,0.0
31.62,2.0,5411.0,0.0,45.5142,-122.6364,2.0,3.0,13.0,17.0,0.5447890080720014,45.51,-122.64,27.0,0.0
3.07,2.0,5812.0,0.0,45.5137,-122.5569,1.0,6.0,12.0,8.0,6.488304416790345,45.51,-122.64,27.0,0.0
5.18,2.0,5814.0,0.0,45.5142,-122.6364,1.0,5.0,11.0,6.0,0.5447890080720014,45.51,-122.64,27.0,0.0
7.32,0.0,5541.0,1.0,40.3205,-75.352,2.0,5.0,15.0,12.0,2.7135112212080195,40.32,-75.32,82.0,0.0
5.74,0.0,5812.0,1.0,40.3205,-75.352,2.0,0.0,3.0,12.0,2.7135112212080195,40.32,-75.32,82.0,0.0
46.62,2.0,5310.0,1.0,40.3205,-75.352,1.0,0.0,13.0,19.0,2.7135112212080195,40.32,-75.32,82.0,0.0
74.41,0.0,5970.0,1.0,40.1809,-75.2156,11.0,4.0,22.0,12.0,17.825157730662685,40.32,-75.32,81.0,0.0
146.44,0.0,5411.0,1.0,40.3205,-75.352,9.0,4.0,6.0,12.0,2.7135112212080195,40.32,-75.32,81.0,0.0
18.26,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,9.0,1.0,3.0,8.0,1462.8357485329216,40.32,-75.32,81.0,0.0
100.0,0.0,4829.0,1.0,40.075,-75.1315,8.0,1.0,13.0,12.0,31.598808575433875,40.32,-75.32,81.0,0.0
12.43,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,8.0,3.0,1.0,8.0,1462.8357485329216,40.32,-75.32,81.0,0.0
7.01,0.0,5812.0,1.0,40.3205,-75.352,6.0,4.0,28.0,13.0,2.7135112212080195,40.32,-75.32,81.0,0.0
16.38,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,6.0,2.0,26.0,8.0,1462.8357485329216,40.32,-75.32,81.0,0.0
84.36,0.0,5812.0,1.0,40.3205,-75.352,6.0,2.0,19.0,17.0,2.7135112212080195,40.32,-75.32,81.0,0.0
143.24,0.0,5912.0,1.0,40.3205,-75.352,6.0,0.0,10.0,12.0,2.7135112212080195,40.32,-75.32,81.0,0.0
148.72,0.0,5541.0,1.0,40.3205,-75.352,6.0,6.0,9.0,12.0,2.7135112212080195,40.32,-75.32,81.0,0.0
158.4,0.0,5300.0,1.0,40.2464,-75.1354,5.0,2.0,22.0,19.0,17.668528847274708,40.32,-75.32,81.0,0.0
66.51,0.0,5311.0,1.0,40.2464,-75.1354,5.0,4.0,3.0,11.0,17.668528847274708,40.32,-75.32,81.0,0.0
6.65,0.0,5814.0,1.0,40.3205,-75.352,4.0,5.0,20.0,11.0,2.7135112212080195,40.32,-75.32,81.0,0.0
16.45,1.0,4784.0,1.0,37.42488662030914,-91.83121755030102,4.0,1.0,9.0,8.0,1462.8357485329216,40.32,-75.32,81.0,0.0
159.55,0.0,3504.0,1.0,37.42488662030914,-91.83121755030102,3.0,3.0,28.0,19.0,1462.8357485329216,40.32,-75.32,81.0,1.0
161.63,0.0,5912.0,1.0,40.2067,-75.0905,3.0,0.0,25.0,12.0,23.19324967860842,40.32,-75.32,81.0,0.0
33.02,0.0,5912.0,1.0,40.3205,-75.352,3.0,5.0,9.0,12.0,2.7135112212080195,40.32,-75.32,81.0,0.0
188.68,1.0,6300.0,1.0,37.42488662030914,-91.83121755030102,2.0,4.0,22.0,12.0,1462.8357485329216,40.32,-75.32,81.0,0.0
4.32,0.0,5541.0,1.0,40.3205,-75.352,1.0,4.0,18.0,12.0,2.7135112212080195,40.32,-75.32,81.0,0.0
56.23,0.0,5300.0,1.0,35.9815,-78.5392,2.0,4.0,28.0,11.0,1430.4306683094856,29.97,-92.12,34.0,0.0
88.0,0.0,5499.0,1.0,29.9466,-92.2416,2.0,4.0,14.0,15.0,12.0001916349843,29.97,-92.12,34.0,0.0
-88.0,0.0,5499.0,1.0,29.9466,-92.2416,2.0,4.0,14.0,15.0,12.0001916349843,29.97,-92.12,34.0,0.0
83.0,2.0,5541.0,1.0,29.9466,-92.2416,2.0,6.0,2.0,15.0,12.0001916349843,29.97,-92.12,34.0,0.0
6.92,2.0,5541.0,1.0,29.9466,-92.2416,10.0,1.0,15.0,8.0,12.0001916349843,29.97,-92.12,33.0,0.0
-84.0,2.0,5541.0,1.0,29.9466,-92.2416,9.0,6.0,22.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
94.0,2.0,5541.0,1.0,29.9466,-92.2416,8.0,0.0,26.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
-90.0,2.0,5541.0,1.0,29.9466,-92.2416,8.0,0.0,12.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
2.61,0.0,5211.0,1.0,30.001,-91.82,7.0,0.0,1.0,13.0,29.098393052070584,29.97,-92.12,33.0,0.0
28.26,0.0,5541.0,1.0,36.2285,-88.0627,6.0,5.0,29.0,15.0,791.7031136389963,29.97,-92.12,33.0,0.0
59.0,0.0,5499.0,1.0,29.9466,-92.2416,6.0,2.0,26.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
31.4,0.0,5499.0,1.0,29.9466,-92.2416,6.0,3.0,6.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
-84.0,0.0,5499.0,1.0,29.9466,-92.2416,4.0,3.0,25.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
60.0,0.0,5541.0,1.0,37.42488662030914,-91.83121755030102,4.0,1.0,23.0,15.0,829.374547616637,29.97,-92.12,33.0,0.0
9.92,0.0,5814.0,1.0,29.9466,-92.2416,4.0,6.0,7.0,8.0,12.0001916349843,29.97,-92.12,33.0,0.0
137.29,1.0,6300.0,1.0,37.42488662030914,-91.83121755030102,3.0,2.0,13.0,8.0,829.374547616637,29.97,-92.12,33.0,0.0
-96.0,2.0,5541.0,1.0,29.9466,-92.2416,3.0,4.0,1.0,15.0,12.0001916349843,29.97,-92.12,33.0,0.0
-69.0,0.0,5499.0,1.0,38.7,-77.5483,2.0,0.0,18.0,15.0,1649.566771382836,29.97,-92.12,33.0,0.0
-57.0,2.0,5541.0,1.0,29.9466,-92.2416,2.0,3.0,7.0,16.0,12.0001916349843,29.97,-92.12,33.0,0.0
-76.0,0.0,5499.0,1.0,29.9466,-92.2416,1.0,6.0,27.0,16.0,12.0001916349843,29.97,-92.12,33.0,0.0
63.01,0.0,5912.0,1.0,30.3981,-91.9263,1.0,5.0,12.0,11.0,51.11394310942863,29.97,-92.12,33.0,0.0
-76.0,0.0,5499.0,1.0,29.9466,-92.2416,1.0,4.0,11.0,16.0,12.0001916349843,29.97,-92.12,33.0,0.0
47.0,0.0,5411.0,1.0,38.6554,-121.2611,2.0,5.0,15.0,2.0,1.1356206772020756,38.65,-121.25,28.0,0.0
65.7,0.0,5251.0,1.0,38.6554,-121.2611,2.0,2.0,12.0,13.0,1.1356206772020756,38.65,-121.25,28.0,0.0
261.23,0.0,5912.0,1.0,38.6554,-121.2611,2.0,4.0,7.0,9.0,1.1356206772020756,38.65,-121.25,28.0,0.0
97.85,0.0,5912.0,1.0,40.4109,-104.7541,1.0,6.0,26.0,9.0,1.5648688672747049,40.42,-104.74,30.0,0.0
58.51,2.0,7538.0,1.0,42.8569,-71.6075,2.0,5.0,8.0,11.0,122.41946978610946,41.76,-71.48,18.0,0.0
96.49,2.0,5411.0,0.0,45.079,-83.4602,2.0,4.0,14.0,17.0,172.4162405938419,44.75,-85.6,35.0,0.0
9.15,0.0,7832.0,1.0,44.7631,-85.6206,1.0,3.0,2.0,17.0,2.183481862822938,44.75,-85.6,35.0,0.0
25.98,0.0,5310.0,1.0,44.7631,-85.6206,8.0,2.0,28.0,21.0,2.183481862822938,44.75,-85.6,34.0,0.0
9.07,0.0,4214.0,1.0,45.5703,-84.8425,6.0,4.0,28.0,15.0,108.84441953941348,44.75,-85.6,34.0,0.0
8.67,0.0,5912.0,1.0,44.7631,-85.6206,6.0,1.0,4.0,9.0,2.183481862822938,44.75,-85.6,34.0,0.0
-65.0,2.0,5541.0,1.0,44.7631,-85.6206,4.0,2.0,10.0,14.0,2.183481862822938,44.75,-85.6,34.0,0.0
58.09,0.0,5311.0,1.0,29.4229,-98.526,1.0,0.0,27.0,20.0,3.926826620729533,29.45,-98.5,49.0,0.0
47.76,0.0,5912.0,1.0,29.4229,-98.526,1.0,5.0,25.0,20.0,3.926826620729533,29.45,-98.5,49.0,0.0
80.0,2.0,4829.0,1.0,29.4969,-98.4032,12.0,5.0,21.0,10.0,10.72409484545223,29.45,-98.5,48.0,0.0
80.0,2.0,4829.0,1.0,29.4969,-98.4032,12.0,6.0,8.0,10.0,10.72409484545223,29.45,-98.5,48.0,0.0
51.83,0.0,5300.0,1.0,29.4229,-98.526,10.0,3.0,10.0,20.0,3.926826620729533,29.45,-98.5,48.0,0.0
47.68,0.0,5411.0,1.0,29.4229,-98.526,10.0,3.0,3.0,20.0,3.926826620729533,29.45,-98.5,48.0,0.0
78.67,0.0,4814.0,1.0,29.4821,-98.4554,9.0,5.0,21.0,12.0,5.602112986287761,29.45,-98.5,48.0,0.0
60.0,2.0,4829.0,1.0,29.4969,-98.4032,9.0,6.0,1.0,10.0,10.72409484545223,29.45,-98.5,48.0,0.0
120.0,2.0,4829.0,1.0,29.4969,-98.4032,8.0,0.0,19.0,10.0,10.72409484545223,29.45,-98.5,48.0,0.0
10.62,0.0,5541.0,1.0,29.4229,-98.526,8.0,2.0,7.0,13.0,3.926826620729533,29.45,-98.5,48.0,0.0
